Name;Matches;Runs;Avg;SR
Faisal Mubashir;9;357;89.25;127.95
Faizan Asif;5;86;17.20;114.66
Faizullah;3;8;4.00;88.88
Faiz Ahmed;1;25;25.00;83.33
Fakhar Zaman;9;260;32.50;144.44
SM Fallah;2;-;-;-
Faraz Ahmed;9;0;0.00;0.00
Farhad Reza;9;76;19.00;118.75
Farhan Ahmed;1;-;-;-
EJ Farley;6;92;15.33;102.22
Farrukh Shehzad;2;29;14.50;69.04
JP Faulkner;32;530;27.89;130.54
Fawad Khan;3;54;18.00;96.42
Fawad Ahmed;8;2;2.00;50.00
Fawad Alam;11;339;67.80;132.94
Fawad Khan;7;1;1.00;25.00
Fayyaz Ahmed;1;11;11.00;91.66
Fazal Subhan;2;10;5.00;71.42
AL Fekete;3;-;-;-
LW Feldman;1;0;0.00;-
CJ Ferguson;5;56;11.20;91.80
LH Ferguson;6;6;-;50.00
N Pradeep;6;9;-;225.00
B Fernando;10;12;4.00;46.15
BOP Fernando;7;60;10.00;96.77
CRD Fernando;1;-;-;-
GCM Fernando;2;31;31.00;193.75
KHRK Fernando;7;128;25.60;162.02
MAP Fernando;7;57;14.25;129.54
MARS Fernando;6;37;12.33;80.43
MVT Fernando;3;-;-;-
S Fernando;2;-;-;-
SH Fernando;1;0;0.00;0.00
Shehan I Fernando;8;182;30.33;152.94
AJ Finch;15;274;19.57;118.61
HZ Finch;9;75;18.75;102.73
ST Finn;10;-;-;-
JL Finnie;7;13;13.00;65.00
MD Fisher;13;0;-;0.00
ADS Fletcher;13;451;34.69;133.82
CD Fletcher;10;195;24.37;105.40
LJ Fletcher;8;2;2.00;50.00
A Flintoff;5;59;19.66;125.53
JS Floros;6;71;17.75;124.56
DR Flynn;9;145;16.11;106.61
BT Foakes;13;140;17.50;110.23
P Fojela;4;14;14.00;93.33
W Fokkens;1;0;0.00;0.00
MHA Footitt;2;0;-;0.00
PJ Forrest;8;245;35.00;106.06
BC Fortuin;8;26;8.66;144.44
C Fortuin;14;138;13.80;108.66
JS Foster;14;168;18.66;164.70
JC Fourie;2;60;60.00;146.34
JEC Franklin;11;221;36.83;134.75
LK Fransisco;1;3;3.00;60.00
OH Freckingham;5;4;-;100.00
RH Frenz;2;64;-;142.22
Q Friend;1;-;-;-
JN Frylinck;1;-;-;-
R Frylinck;1;3;3.00;75.00
AB Fudadin;6;123;30.75;100.00
JK Fuller;17;58;14.50;113.72
PG Fulton;10;269;29.88;145.40
ST Gabriel;10;3;-;37.50
CT Gaja;3;2;-;100.00
KP Gajasinghe;4;92;46.00;112.19
AW Gale;12;288;26.18;109.50
VK Galetiya;1;-;-;-
AD Galiem;4;5;5.00;71.42
NT Gamage;7;42;14.00;113.51
C Gamage;4;7;7.00;70.00
PLS Gamage;7;48;16.00;81.35
G Gambhir;17;369;21.70;108.21
CJ Gandhi;9;102;17.00;114.60
WCA Ganegama;2;33;33.00;132.00
K Ganesh;2;19;9.50;73.07
Ganesh Satish;3;30;10.00;68.18
GASK Gangodawila;1;23;23.00;109.52
N Gangta;7;39;9.75;105.40
AA Gani;4;23;11.50;115.00
CJ Gannon;3;-;-;-
DD Gaonkar;2;28;14.00;96.55
LA Garg;2;18;-;138.46
AN Garhwal;4;79;19.75;149.05
JS Gatting;5;44;14.66;97.77
SP Gauchan;8;8;4.00;47.05
Gauhar Ali;3;5;-;250.00
CM Gautam;1;4;4.00;80.00
SP Gautam;2;0;0.00;0.00
WT Gavera;6;3;3.00;37.50
CH Gayle;36;1665;59.46;164.52
GJ George;4;1;1.00;33.33
AN Ghosh;3;102;34.00;112.08
Ghulam Hussain;2;2;-;33.33
Ghulam Shabber;1;56;56.00;133.33
Ghulam Yasin;3;10;5.00;62.50
R Gibson;3;32;16.00;145.45
S Gidana;3;-;-;-
APR Gidman;1;0;0.00;0.00
WRS Gidman;1;2;-;100.00
S Godara;2;40;20.00;70.17
BA Godleman;9;111;18.50;100.00
Gohar Faiz;3;23;11.50;135.29
RV Gomez;5;63;15.75;128.57
DM Gondaria;3;101;33.66;136.48
S Gopal;5;63;31.50;131.25
H Gopinath;5;81;16.20;106.57
JOA Gordon;3;-;-;-
RO Gordon;13;29;14.50;181.25
DS Goswami;1;-;-;-
SP Goswami;4;79;26.33;123.43
PW Gough;6;191;38.20;106.11
AGS Gous;8;259;43.16;151.46
M Gqadushe;9;53;10.60;75.71
A Gqamane;6;25;6.25;131.57
CJ Green;3;3;3.00;60.00
ZE Green;6;67;22.33;88.15
L Gregory;8;65;16.25;118.18
TA Griffith;2;11;5.50;78.57
DA Griffiths;2;0;-;-
GT Griffiths;2;-;-;-
DJ Grobbelaar;11;24;8.00;88.88
TD Groenewald;5;35;35.00;159.09
Z Groenewald;6;67;22.33;87.01
NRT Gubbins;6;121;20.16;134.44
SM Gugale;3;64;21.33;125.49
EP Gulbis;2;3;1.50;42.85
Gulbadin Naib;6;102;102.00;161.90
Gulraiz Sadaf;3;76;25.33;105.55
D Gunaratne;3;-;-;-
DAS Gunaratne;6;142;28.40;137.86
LJP Gunaratne;5;61;15.25;119.60
R Gunasekera;5;139;27.80;117.79
C Gunasinghe;1;0;0.00;0.00
MD Gunathilaka;8;295;59.00;163.88
MDDCR Gunathilake;4;96;32.00;103.22
AH Gupta;3;12;6.00;60.00
AR Gupta;6;31;7.75;62.00
Sunny Gupta;4;20;6.66;95.23
MJ Guptill;15;469;31.26;127.44
Gurinder Singh;9;62;15.50;163.15
Gurkeerat Singh;15;183;15.25;112.26
HF Gurney;12;1;-;100.00
AM Guruge;5;1;1.00;9.09
BJ Haddin;5;141;35.25;146.87
CJ Haggett;7;23;11.50;104.54
AD Hales;16;373;24.86;132.74
Hamid Hassan;4;-;-;-
Hammad Azam;10;92;13.14;100.00
BR Hampton;3;1;0.50;14.28
Hamza Nadeem;2;0;-;0.00
Hamza Tariq;5;59;19.66;151.28
PSP Handscomb;19;309;23.76;114.44
OJ Hannon-Dalby;14;10;5.00;125.00
Harbhajan Singh;22;142;12.90;157.77
RS Harikant;1;3;3.00;42.85
Haris Khan;1;2;2.00;28.57
Haris Sohail;11;224;24.88;113.70
Harmeet Singh;1;4;4.00;50.00
